#Velocity(km/s)	FluxDensity(Jy)
332.650	-11.816
331.698	-6.818
330.745	-3.435
329.793	-1.566
328.840	-3.647
327.887	-3.749
326.935	-4.470
325.982	5.470
325.030	-4.012
324.077	-5.475
323.125	6.724
322.172	7.661
321.220	-2.500
320.267	0.777
319.315	-2.479
318.362	6.090
317.410	-1.836
316.457	6.271
315.505	3.427
314.552	-1.431
313.600	0.857
312.647	2.933
311.695	4.544
310.742	0.774
309.790	6.266
308.837	2.705
307.885	-1.078
306.932	3.372
305.980	1.874
305.027	6.686
304.075	3.753
303.122	2.556
302.169	-0.472
301.217	-3.761
300.264	3.298
299.312	6.828
298.359	-0.214
297.407	0.331
296.454	6.586
295.502	-0.557
294.549	0.593
293.597	4.938
292.644	3.422
291.692	-2.998
290.739	6.424
289.787	4.179
288.834	-2.732
287.882	-8.896
286.929	3.207
285.977	6.477
285.024	-2.886
284.072	-2.781
283.119	2.660
282.167	4.836
281.214	-1.542
280.262	6.731
279.309	1.945
278.357	-0.623
277.404	-2.136
276.451	-1.029
275.499	-1.306
274.546	-2.489
273.594	0.308
272.641	-4.360
271.689	2.669
270.736	-0.022
269.784	0.665
268.831	-0.604
267.879	-0.523
266.926	-2.038
265.974	-0.257
265.021	-1.118
264.069	-0.096
263.116	3.028
262.164	-0.263
261.211	-1.949
260.259	-2.267
259.306	1.010
258.354	-5.484
257.401	-9.640
256.449	-6.232
255.496	-9.744
254.544	-3.827
253.591	-1.741
252.639	-5.844
251.686	0.066
250.733	-6.931
249.781	-0.926
248.828	-4.836
247.876	-2.088
246.923	-5.971
245.971	1.337
245.018	-5.141
244.066	-8.256
243.113	-1.483
242.161	-1.465
241.208	-3.250
240.256	-5.487
239.303	-1.164
238.351	-5.576
237.398	-1.488
236.446	-4.211
235.493	-1.005
234.541	-0.665
233.588	5.633
232.636	0.186
231.683	2.971
230.731	-3.439
229.778	-0.447
228.826	-5.004
227.873	1.957
226.921	0.089
225.968	3.951
225.015	2.118
224.063	6.791
223.110	-1.856
222.158	-1.865
221.205	-0.483
220.253	-1.169
219.300	1.819
218.348	-2.210
217.395	3.560
216.443	-0.187
215.490	1.642
214.538	3.164
213.585	6.090
212.633	-2.382
211.680	5.311
210.728	3.392
209.775	2.689
208.823	-4.716
207.870	1.619
206.918	8.240
205.965	3.200
205.013	4.553
204.060	-1.170
203.108	1.558
202.155	-4.114
201.203	1.598
200.250	4.451
199.297	-1.072
198.345	3.894
197.392	2.424
196.440	-2.801
195.487	-1.821
194.535	-1.605
193.582	-2.552
192.630	1.331
191.677	0.970
190.725	-0.469
189.772	-11.688
188.820	0.995
187.867	-1.388
186.915	-5.093
185.962	4.483
185.010	2.857
184.057	4.617
183.105	-4.856
182.152	-4.154
181.200	1.889
180.247	-1.807
179.295	0.005
178.342	4.170
177.390	-0.706
176.437	-3.264
175.485	-8.272
174.532	3.949
173.579	2.632
172.627	-7.685
171.674	4.239
170.722	4.980
169.769	6.228
168.817	-1.989
167.864	0.645
166.912	9.696
165.959	-0.076
165.007	2.155
164.054	-7.300
163.102	-6.783
162.149	-6.705
161.197	-1.049
160.244	1.616
159.292	2.873
158.339	1.887
157.387	-5.325
156.434	4.358
155.482	1.082
154.529	-0.863
153.577	-0.783
152.624	1.852
151.672	-4.211
150.719	5.746
149.767	7.999
148.814	0.447
147.861	2.061
146.909	2.793
145.956	3.038
145.004	0.379
144.051	4.956
143.099	8.080
142.146	5.386
141.194	3.212
140.241	-2.184
139.289	7.547
138.336	6.568
137.384	2.858
136.431	-0.577
135.479	10.720
134.526	-3.272
133.574	7.788
132.621	0.230
131.669	1.430
130.716	4.660
129.764	2.173
128.811	4.910
127.859	0.016
126.906	7.299
125.954	3.237
125.001	0.357
124.049	1.307
123.096	-5.600
122.143	11.104
121.191	1.777
120.238	4.569
119.286	7.242
118.333	1.589
117.381	2.165
116.428	-2.137
115.476	-0.324
114.523	2.585
113.571	0.813
112.618	1.253
111.666	3.223
110.713	1.327
109.761	2.902
108.808	5.398
107.856	-2.831
106.903	5.543
105.951	-4.885
104.998	0.642
104.046	5.044
103.093	4.810
102.141	0.644
101.188	4.118
100.236	-1.895
99.283	-1.771
98.331	-2.873
97.378	-3.516
96.425	-5.767
95.473	-3.231
94.520	-0.915
93.568	-6.635
92.615	4.703
91.663	-1.711
90.710	-3.198
89.758	-1.374
88.805	-4.615
87.853	-6.677
86.900	-2.243
85.948	0.618
84.995	-0.679
84.043	-3.541
83.090	-1.964
