#Velocity(km/s)	FluxDensity(Jy)
82.138	-5.700
81.185	-3.590
80.233	-6.374
79.280	-11.736
78.328	-10.360
77.375	-5.258
76.423	-13.712
75.470	-7.127
74.518	-4.283
73.565	-3.517
72.613	2.233
71.660	-5.181
70.707	1.282
69.755	-8.096
68.802	1.858
67.850	-6.228
66.897	-4.522
65.945	-3.566
64.992	-0.324
64.040	-2.975
63.087	-1.247
62.135	-0.302
61.182	-0.516
60.230	-9.488
59.277	-4.215
58.325	-2.652
57.372	-4.091
56.420	-0.413
55.467	3.063
54.515	-0.722
53.562	2.680
52.610	-0.145
51.657	-2.092
50.705	-5.530
49.752	-3.050
48.800	-3.851
47.847	-3.605
46.895	-2.265
45.942	-0.125
44.989	-2.321
44.037	-2.015
43.084	-0.770
42.132	-2.938
41.179	2.760
40.227	-5.113
39.274	-0.303
38.322	-1.904
37.369	0.404
36.417	1.293
35.464	0.860
34.512	4.645
33.559	3.707
32.607	2.822
31.654	9.504
30.702	6.503
29.749	8.512
28.797	3.188
27.844	7.880
26.892	18.768
25.939	25.768
24.987	31.424
24.034	35.192
23.082	38.064
22.129	49.352
21.177	52.912
20.224	52.248
19.271	50.800
18.319	54.944
17.366	57.024
16.414	57.720
15.461	60.560
14.509	62.336
13.556	68.656
12.604	70.072
11.651	68.336
10.699	65.768
9.746	67.112
8.794	66.024
7.841	76.240
6.889	77.568
5.936	72.752
4.984	67.888
4.031	68.856
3.079	69.256
2.126	67.280
1.174	68.704
0.221	58.760
-0.731	53.488
-1.684	48.880
-2.636	52.416
-3.589	53.536
-4.541	44.296
-5.494	41.768
-6.447	33.264
-7.399	38.136
-8.352	22.960
-9.304	20.424
-10.257	2.337
-11.209	8.048
-12.162	-2.747
-13.114	3.318
-14.067	6.208
-15.019	2.423
-15.972	3.039
-16.924	4.251
-17.877	5.596
-18.829	3.378
-19.782	5.763
-20.734	10.184
-21.687	6.837
-22.639	-0.815
-23.592	0.877
-24.544	1.326
-25.497	2.331
-26.449	1.169
-27.402	6.975
-28.354	3.205
-29.307	-0.967
-30.259	0.435
-31.212	3.128
-32.165	-1.045
-33.117	-1.624
-34.070	3.118
-35.022	-0.435
-35.975	4.157
-36.927	4.485
-37.880	7.260
-38.832	4.668
-39.785	4.651
-40.737	4.432
-41.690	6.566
-42.642	5.088
-43.595	-1.908
-44.547	3.358
-45.500	-3.992
-46.452	-4.571
-47.405	-5.864
-48.357	5.947
-49.310	4.026
-50.262	2.923
-51.215	-1.830
-52.167	-2.214
-53.120	0.286
-54.072	2.144
-55.025	2.148
-55.977	-1.744
-56.930	2.086
-57.883	3.604
-58.835	-1.732
-59.788	9.728
-60.740	6.904
-61.693	5.554
-62.645	1.682
-63.598	-3.431
-64.550	-2.010
-65.503	2.954
-66.455	-1.602
-67.408	5.715
-68.360	2.191
-69.313	0.955
-70.265	6.213
-71.218	0.489
-72.170	-0.124
-73.123	8.440
-74.075	2.582
-75.028	0.252
-75.980	-4.304
-76.933	-4.351
-77.885	0.148
-78.838	-7.732
-79.790	1.994
-80.743	1.937
-81.695	3.153
-82.648	1.911
-83.601	3.961
-84.553	-2.016
-85.506	4.626
-86.458	0.633
-87.411	1.246
-88.363	-0.281
-89.316	-0.621
-90.268	-1.114
-91.221	-8.368
-92.173	1.674
-93.126	2.220
-94.078	6.219
-95.031	4.492
-95.983	-6.208
-96.936	-7.534
-97.888	-0.483
-98.841	-4.180
-99.793	-4.885
-100.746	3.275
-101.698	0.457
-102.651	0.233
-103.603	-5.114
-104.556	-7.217
-105.508	-0.748
-106.461	-0.689
-107.414	2.555
-108.366	-0.462
-109.319	-3.395
-110.271	6.366
-111.224	0.961
-112.176	-0.086
-113.129	-3.116
-114.081	-1.442
-115.034	1.832
-115.986	-3.519
-116.939	-1.600
-117.891	-6.348
-118.844	-4.188
-119.796	0.090
-120.749	-0.299
-121.701	-5.394
-122.654	3.020
-123.606	0.488
-124.559	-2.928
-125.511	-6.933
-126.464	-2.561
-127.416	-7.326
-128.369	-6.430
-129.321	1.184
-130.274	-4.228
-131.226	1.379
-132.179	-5.376
-133.132	-4.745
-134.084	-5.523
-135.037	-7.332
-135.989	1.396
-136.942	-2.147
-137.894	-2.360
-138.847	-4.133
-139.799	-9.000
-140.752	-3.377
-141.704	-3.689
-142.657	-5.895
-143.609	0.643
-144.562	-4.568
-145.514	-2.135
-146.467	2.598
-147.419	1.611
-148.372	-7.567
-149.324	1.153
-150.277	-7.566
-151.229	3.434
-152.182	-3.996
-153.134	-2.907
-154.087	-0.525
-155.039	-0.155
-155.992	1.304
-156.944	-3.980
-157.897	-0.072
-158.850	-8.368
-159.802	2.832
-160.755	-1.700
-161.707	6.334
-162.660	-0.624
-163.612	-0.419
-164.565	-1.085
-165.517	3.387
-166.470	-5.951
-167.422	-0.009
-168.375	5.509
-169.327	-2.943
-170.280	2.171
-171.232	-1.563
-172.185	-1.505
-173.137	0.438
-174.090	4.153
-175.042	-6.805
-175.995	6.415
-176.947	-3.854
-177.900	-0.903
-178.852	-0.425
-179.805	-3.481
-180.757	-3.485
-181.710	0.891
-182.662	4.251
-183.615	-0.277
-184.568	-0.537
-185.520	7.592
-186.473	3.105
-187.425	0.565
-188.378	-2.554
-189.330	-5.787
-190.283	8.272
-191.235	6.885
-192.188	-1.408
-193.140	-0.469
-194.093	2.715
-195.045	4.904
-195.998	2.420
-196.950	6.217
-197.903	-0.068
-198.855	9.512
-199.808	3.349
-200.760	5.367
-201.713	-0.582
-202.665	6.946
-203.618	-1.303
-204.570	0.463
-205.523	6.840
-206.475	4.876
-207.428	3.768
-208.380	3.403
-209.333	-4.214
-210.286	1.080
-211.238	2.721
-212.191	0.296
-213.143	0.603
-214.096	3.119
-215.048	0.019
-216.001	1.905
-216.953	8.264
-217.906	7.700
-218.858	5.308
-219.811	1.112
-220.763	8.528
-221.716	7.303
-222.668	1.859
-223.621	-2.867
-224.573	-1.311
-225.526	3.766
-226.478	-5.893
-227.431	6.381
-228.383	-0.501
-229.336	3.937
-230.288	3.184
-231.241	-0.478
-232.193	-1.659
-233.146	-2.196
-234.098	-4.341
-235.051	-6.525
-236.004	-0.062
-236.956	-3.354
-237.909	-5.151
-238.861	-1.716
-239.814	-0.653
-240.766	0.445
-241.719	3.539
-242.671	6.150
-243.624	-5.810
-244.576	2.160
-245.529	-0.108
-246.481	2.201
-247.434	1.218
-248.386	-1.093
-249.339	-2.028
-250.291	-6.166
-251.244	2.372
-252.196	9.864
-253.149	-0.264
-254.101	-8.968
-255.054	-1.942
-256.006	-3.139
-256.959	-1.058
-257.911	-1.364
-258.864	1.360
-259.816	3.754
-260.769	-2.426
-261.722	-0.001
-262.674	-2.748
-263.627	-2.127
-264.579	-6.100
-265.532	-2.518
-266.484	-6.798
-267.437	-3.136
-268.389	-4.985
-269.342	-3.721
-270.294	-1.287
-271.247	-3.143
-272.199	-2.323
-273.152	-0.075
-274.104	-2.338
-275.057	-1.101
-276.009	-0.766
-276.962	2.990
-277.914	-3.096
-278.867	2.852
-279.819	-1.694
-280.772	-1.718
-281.724	-1.340
-282.677	1.433
-283.629	-3.425
-284.582	1.842
-285.534	2.231
-286.487	-3.633
-287.440	-9.336
-288.392	0.463
-289.345	4.246
-290.297	1.117
-291.250	1.494
-292.202	-0.630
-293.155	8.592
-294.107	-7.921
-295.060	0.865
-296.012	1.222
-296.965	4.229
-297.917	0.952
-298.870	2.983
-299.822	3.526
-300.775	-0.300
-301.727	-3.736
-302.680	1.385
-303.632	1.155
-304.585	0.495
-305.537	5.041
-306.490	7.209
-307.442	2.101
-308.395	-2.793
-309.347	-4.391
-310.300	4.310
-311.252	-0.212
-312.205	-2.382
-313.158	-2.080
-314.110	3.289
-315.063	0.917
-316.015	-3.724
