#Velocity(km/s)	Temperature(K)
-424.952	0.084
-423.894	0.130
-422.836	-0.023
-421.778	0.224
-420.719	0.106
-419.661	0.127
-418.603	0.065
-417.544	0.035
-416.486	0.122
-415.428	0.050
-414.369	0.078
-413.311	0.052
-412.253	0.103
-411.194	0.023
-410.136	0.016
-409.078	0.093
-408.020	0.009
-406.961	0.101
-405.903	0.014
-404.845	-0.032
-403.786	-0.050
-402.728	0.093
-401.670	0.163
-400.611	-0.088
-399.553	0.084
-398.495	-0.038
-397.437	0.036
-396.378	0.029
-395.320	-0.094
-394.262	-0.018
-393.203	-0.050
-392.145	-0.094
-391.087	0.021
-390.028	0.045
-388.970	-0.016
-387.912	0.029
-386.853	0.043
-385.795	0.051
-384.737	0.078
-383.679	0.032
-382.620	0.050
-381.562	-0.038
-380.504	-0.031
-379.445	-0.054
-378.387	-0.070
-377.329	-0.084
-376.270	0.060
-375.212	-0.015
-374.154	0.105
-373.096	0.060
-372.037	-0.034
-370.979	0.015
-369.921	-0.008
-368.862	-0.007
-367.804	-0.117
-366.746	0.020
-365.687	-0.012
-364.629	0.054
-363.571	0.090
-362.512	0.172
-361.454	-0.121
-360.396	0.020
-359.338	-0.083
-358.279	-0.014
-357.221	0.005
-356.163	0.024
-355.104	-0.021
-354.046	0.040
-352.988	0.076
-351.929	-0.024
-350.871	-0.033
-349.813	-0.004
-348.755	0.051
-347.696	-0.104
-346.638	-0.171
-345.580	-0.004
-344.521	0.056
-343.463	0.066
-342.405	0.016
-341.346	-0.084
-340.288	0.111
-339.230	-0.021
-338.171	-0.049
-337.113	-0.146
-336.055	-0.085
-334.997	0.038
-333.938	-0.101
-332.880	-0.001
-331.822	0.048
-330.763	-0.092
-329.705	0.022
-328.647	0.046
-327.588	0.065
-326.530	-0.004
-325.472	-0.012
-324.414	0.051
-323.355	-0.170
-322.297	-0.052
-321.239	0.053
-320.180	-0.055
-319.122	-0.107
-318.064	0.004
-317.005	-0.056
-315.947	-0.071
-314.889	-0.074
-313.830	-0.037
-312.772	-0.025
-311.714	-0.037
-310.656	-0.016
-309.597	0.070
-308.539	0.065
-307.481	-0.011
-306.422	-0.032
-305.364	-0.131
-304.306	0.013
-303.247	-0.039
-302.189	-0.106
-301.131	-0.072
-300.072	-0.074
-299.014	-0.009
-297.956	-0.093
-296.898	-0.060
-295.839	0.019
-294.781	-0.038
-293.723	-0.017
-292.664	-0.070
-291.606	-0.037
-290.548	0.070
-289.489	0.046
-288.431	0.015
-287.373	0.048
-286.315	0.046
-285.256	0.044
-284.198	-0.041
-283.140	0.095
-282.081	-0.047
-281.023	0.021
-279.965	-0.001
-278.906	0.075
-277.848	0.039
-276.790	0.027
-275.731	0.042
-274.673	0.021
-273.615	-0.062
-272.557	0.094
-271.498	-0.040
-270.440	-0.007
-269.382	0.079
-268.323	0.060
-267.265	0.049
-266.207	0.119
-265.148	0.074
-264.090	0.099
-263.032	0.071
-261.974	0.134
-260.915	-0.057
-259.857	0.090
-258.799	0.121
-257.740	0.087
-256.682	0.157
-255.624	0.065
-254.565	0.055
-253.507	0.112
-252.449	0.111
-251.390	0.083
-250.332	0.070
-249.274	-0.069
-248.216	0.041
-247.157	0.045
-246.099	0.211
-245.041	0.033
-243.982	0.078
-242.924	-0.031
-241.866	0.086
-240.807	0.035
-239.749	0.096
-238.691	-0.084
-237.633	0.098
-236.574	-0.008
-235.516	0.077
-234.458	0.067
-233.399	0.143
-232.341	-0.023
-231.283	0.148
-230.224	0.083
-229.166	0.172
-228.108	-0.147
-227.049	0.043
-225.991	-0.102
-224.933	-0.028
-223.875	-0.053
-222.816	-0.037
-221.758	-0.024
-220.700	-0.043
-219.641	-0.040
-218.583	0.103
-217.525	0.082
-216.466	0.089
-215.408	-0.098
-214.350	0.038
-213.292	-0.022
-212.233	0.040
-211.175	0.024
-210.117	-0.017
-209.058	-0.014
-208.000	0.048
-206.942	0.072
-205.883	-0.139
-204.825	-0.097
-203.767	-0.135
-202.708	0.001
-201.650	-0.072
-200.592	-0.056
-199.534	0.044
-198.475	0.093
-197.417	0.035
-196.359	0.037
-195.300	-0.104
-194.242	-0.064
-193.184	-0.008
-192.125	0.041
-191.067	-0.036
-190.009	-0.132
-188.951	-0.064
-187.892	-0.084
-186.834	0.125
-185.776	0.084
-184.717	0.082
-183.659	0.137
-182.601	-0.021
-181.542	0.098
-180.484	0.046
-179.426	-0.003
-178.367	0.084
-177.309	0.012
-176.251	0.105
-175.193	-0.024
-174.134	0.001
-173.076	-0.001
-172.018	0.116
-170.959	-0.124
-169.901	-0.099
-168.843	0.100
-167.784	-0.067
-166.726	0.091
-165.668	-0.066
-164.609	0.142
-163.551	0.018
-162.493	-0.020
-161.435	0.011
-160.376	0.161
-159.318	-0.070
-158.260	0.025
-157.201	-0.017
-156.143	-0.173
-155.085	0.081
-154.026	0.054
-152.968	-0.016
-151.910	-0.030
-150.852	-0.060
-149.793	-0.150
-148.735	0.015
-147.677	0.057
-146.618	0.069
-145.560	-0.067
-144.502	-0.053
-143.443	-0.047
-142.385	-0.150
-141.327	-0.115
-140.268	-0.045
-139.210	-0.069
-138.152	0.046
