#Velocity(km/s)	Temperature(K)
-137.094	0.074
-136.035	0.162
-134.977	0.062
-133.919	0.202
-132.860	0.063
-131.802	-0.004
-130.744	-0.042
-129.685	0.072
-128.627	0.092
-127.569	0.063
-126.511	-0.096
-125.452	0.162
-124.394	0.039
-123.336	-0.044
-122.277	0.045
-121.219	0.009
-120.161	0.095
-119.102	0.063
-118.044	0.082
-116.986	-0.021
-115.927	-0.162
-114.869	0.014
-113.811	0.008
-112.753	-0.037
-111.694	-0.114
-110.636	0.099
-109.578	0.124
-108.519	-0.002
-107.461	0.123
-106.403	0.007
-105.344	-0.131
-104.286	0.054
-103.228	0.069
-102.170	-0.125
-101.111	0.048
-100.053	-0.050
-98.995	-0.123
-97.936	0.057
-96.878	0.044
-95.820	-0.020
-94.761	0.052
-93.703	0.042
-92.645	-0.071
-91.586	-0.002
-90.528	-0.031
-89.470	0.037
-88.412	-0.024
-87.353	0.021
-86.295	-0.001
-85.237	-0.129
-84.178	-0.026
-83.120	-0.082
-82.062	0.033
-81.003	-0.147
-79.945	0.017
-78.887	0.005
-77.829	-0.104
-76.770	-0.119
-75.712	0.021
-74.654	0.058
-73.595	-0.114
-72.537	-0.070
-71.479	-0.095
-70.420	-0.059
-69.362	-0.033
-68.304	-0.019
-67.245	0.051
-66.187	-0.091
-65.129	-0.089
-64.071	-0.080
-63.012	0.032
-61.954	-0.050
-60.896	-0.111
-59.837	0.017
-58.779	0.024
-57.721	0.093
-56.662	-0.081
-55.604	-0.095
-54.546	-0.021
-53.488	-0.060
-52.429	0.009
-51.371	-0.099
-50.313	-0.109
-49.254	0.003
-48.196	-0.135
-47.138	-0.060
-46.079	-0.096
-45.021	-0.115
-43.963	0.001
-42.904	-0.044
-41.846	0.040
-40.788	0.009
-39.730	-0.081
-38.671	-0.126
-37.613	0.029
-36.555	-0.054
-35.496	-0.061
-34.438	-0.105
-33.380	-0.032
-32.321	-0.037
-31.263	-0.122
-30.205	-0.008
-29.146	-0.019
-28.088	-0.082
-27.030	-0.166
-25.972	-0.011
-24.913	0.069
-23.855	0.036
-22.797	0.019
-21.738	-0.080
-20.680	-0.025
-19.622	-0.036
-18.563	-0.026
-17.505	-0.023
-16.447	0.027
-15.389	-0.048
-14.330	0.099
-13.272	0.103
-12.214	-0.129
-11.155	-0.017
-10.097	0.104
-9.039	0.300
-7.980	0.772
-6.922	1.019
-5.864	1.117
-4.805	1.138
-3.747	1.340
-2.689	1.455
-1.631	1.673
-0.572	1.805
0.486	1.833
1.544	1.868
2.603	2.010
3.661	2.148
4.719	2.095
5.778	2.293
6.836	2.219
7.894	2.425
8.952	2.449
10.011	2.322
11.069	2.322
12.127	2.399
13.186	2.264
14.244	2.211
15.302	2.096
16.361	2.059
17.419	1.795
18.477	1.918
19.536	1.836
20.594	1.693
21.652	1.636
22.710	1.599
23.769	1.486
24.827	1.209
25.885	1.160
26.944	0.727
28.002	0.297
29.060	-0.050
30.119	0.018
31.177	0.012
32.235	-0.028
33.293	0.040
34.352	-0.026
35.410	-0.014
36.468	0.034
37.527	0.034
38.585	-0.011
39.643	0.026
40.702	-0.008
41.760	-0.023
42.818	-0.060
43.877	0.021
44.935	0.045
45.993	-0.110
47.051	-0.099
48.110	-0.018
49.168	-0.036
50.226	0.006
51.285	-0.036
52.343	0.004
53.401	0.084
54.460	-0.079
55.518	-0.044
56.576	0.031
57.634	-0.116
58.693	-0.065
59.751	-0.014
60.809	-0.175
61.868	-0.175
62.926	0.005
63.984	-0.176
65.043	-0.063
66.101	-0.114
67.159	-0.005
68.218	-0.014
69.276	0.043
70.334	0.097
71.392	-0.038
72.451	-0.038
73.509	-0.092
74.567	-0.042
75.626	-0.064
76.684	-0.051
77.742	-0.021
78.801	0.018
79.859	-0.091
80.917	-0.163
81.975	0.067
83.034	-0.064
84.092	0.018
85.150	-0.041
86.209	0.004
87.267	-0.076
88.325	-0.080
89.384	-0.040
90.442	-0.111
91.500	0.021
92.559	-0.094
93.617	-0.070
94.675	-0.029
95.733	0.060
96.792	-0.161
97.850	0.003
98.908	0.068
99.967	0.126
101.025	0.072
102.083	-0.044
103.142	0.015
104.200	0.035
105.258	-0.090
106.317	-0.022
107.375	0.066
108.433	-0.038
109.491	-0.086
110.550	-0.091
111.608	0.067
112.666	-0.000
113.725	-0.068
114.783	-0.060
115.841	0.011
116.900	0.171
117.958	0.026
119.016	-0.056
120.074	0.026
121.133	-0.036
122.191	-0.010
123.249	-0.129
124.308	-0.023
125.366	0.049
126.424	-0.017
127.483	0.001
128.541	0.059
129.599	-0.030
130.658	0.051
131.716	0.009
132.774	-0.066
133.832	0.089
134.891	-0.108
135.949	-0.150
137.007	-0.070
138.066	0.019
139.124	0.056
140.182	-0.028
141.241	-0.040
142.299	-0.098
143.357	-0.013
144.415	0.016
145.474	0.080
146.532	0.075
147.590	-0.049
148.649	-0.046
149.707	0.094
150.765	-0.104
151.824	-0.053
152.882	-0.056
153.940	-0.094
154.999	-0.246
156.057	0.081
157.115	-0.036
158.173	-0.052
159.232	-0.019
160.290	0.009
161.348	0.111
162.407	0.011
163.465	0.106
164.523	0.019
165.582	-0.084
166.640	0.019
167.698	-0.002
168.756	0.065
169.815	-0.070
170.873	0.008
171.931	-0.006
172.990	-0.018
174.048	0.058
175.106	-0.027
176.165	-0.012
177.223	-0.067
178.281	-0.164
179.340	-0.017
180.398	-0.017
181.456	-0.009
182.514	-0.005
183.573	-0.070
184.631	0.047
185.689	-0.090
186.748	-0.025
187.806	0.047
188.864	-0.066
189.923	-0.033
190.981	0.016
192.039	0.108
193.097	-0.082
194.156	-0.076
195.214	0.183
196.272	0.057
197.331	-0.035
198.389	-0.042
199.447	0.008
200.506	0.043
201.564	0.020
202.622	0.037
203.681	0.029
204.739	-0.127
205.797	-0.011
206.855	-0.083
207.914	0.008
208.972	-0.018
210.030	0.058
211.089	0.031
212.147	0.100
213.205	-0.041
214.264	-0.155
215.322	0.161
216.380	-0.084
217.438	-0.178
218.497	-0.062
219.555	0.059
220.613	-0.133
221.672	-0.009
222.730	-0.079
223.788	0.011
224.847	-0.006
225.905	-0.007
226.963	0.053
228.022	0.012
229.080	-0.055
230.138	-0.026
231.196	-0.104
232.255	0.039
233.313	-0.072
234.371	-0.121
235.430	-0.007
236.488	-0.130
237.546	0.009
238.605	-0.042
239.663	-0.136
240.721	-0.055
241.780	-0.010
242.838	0.014
243.896	0.016
244.954	-0.023
246.013	-0.039
247.071	-0.166
248.129	-0.020
249.188	-0.123
250.246	-0.156
251.304	-0.135
252.363	-0.038
253.421	-0.116
254.479	-0.017
255.537	0.106
256.596	0.071
257.654	-0.075
258.712	0.044
259.771	-0.031
260.829	0.083
261.887	0.004
262.946	0.025
264.004	-0.158
265.062	-0.074
266.121	-0.090
267.179	0.040
268.237	-0.135
269.295	-0.031
270.354	0.034
271.412	-0.037
272.470	0.098
273.529	0.019
274.587	0.045
275.645	0.009
276.704	-0.068
277.762	-0.087
278.820	-0.175
279.878	-0.035
280.937	-0.026
281.995	-0.013
283.053	-0.057
284.112	0.065
285.170	-0.031
286.228	0.008
287.287	0.096
288.345	0.036
289.403	-0.082
290.462	-0.050
291.520	0.138
292.578	-0.042
293.636	-0.048
294.695	-0.131
295.753	-0.147
296.811	0.061
297.870	0.090
298.928	-0.073
299.986	-0.046
301.045	-0.061
302.103	0.103
303.161	0.005
304.219	0.058
305.278	0.088
306.336	-0.007
307.394	0.086
308.453	0.008
309.511	0.034
310.569	-0.023
311.628	-0.077
312.686	0.008
313.744	0.058
314.803	-0.014
315.861	0.276
316.919	0.025
317.977	0.070
319.036	0.047
320.094	-0.115
321.152	-0.009
322.211	0.004
323.269	0.097
324.327	0.028
325.386	-0.105
326.444	-0.061
327.502	-0.094
328.560	-0.075
329.619	0.023
330.677	0.036
331.735	0.023
332.794	0.060
333.852	0.032
334.910	0.108
335.969	-0.059
337.027	0.017
338.085	-0.053
339.144	-0.035
340.202	0.088
341.260	0.029
342.318	-0.127
343.377	-0.025
344.435	-0.005
345.493	0.021
346.552	-0.052
347.610	0.030
348.668	-0.086
349.727	0.112
350.785	-0.032
351.843	0.176
352.901	0.073
353.960	-0.017
355.018	-0.076
356.076	-0.091
357.135	0.072
358.193	-0.021
359.251	0.129
360.310	-0.078
361.368	-0.007
362.426	0.092
363.485	0.010
364.543	0.224
365.601	0.036
366.659	0.008
367.718	0.128
368.776	0.073
369.834	0.104
370.893	-0.018
371.951	0.040
373.009	0.087
374.068	0.072
375.126	-0.083
376.184	0.076
377.243	-0.007
378.301	0.100
379.359	0.072
380.417	0.036
381.476	0.030
382.534	-0.105
383.592	0.127
384.651	-0.009
385.709	0.163
386.767	-0.006
387.826	0.092
388.884	0.187
389.942	0.098
391.000	0.080
392.059	0.090
393.117	-0.006
394.175	0.073
395.234	-0.068
396.292	0.102
397.350	0.056
398.409	0.103
399.467	0.019
400.525	0.144
401.584	0.087
402.642	0.166
403.700	0.109
404.758	0.114
405.817	0.056
406.875	0.174
407.933	0.030
408.992	0.050
410.050	0.003
411.108	-0.024
412.167	0.037
413.225	0.091
414.283	0.031
415.341	0.002
416.400	0.091
417.458	0.130
418.516	0.212
419.575	0.021
420.633	0.018
421.691	0.034
422.750	-0.001
423.808	-0.022
424.866	0.160
425.925	-0.057
426.983	-0.029
428.041	0.040
429.099	-0.080
430.158	0.018
431.216	0.123
432.274	0.110
433.333	-0.025
434.391	0.022
435.449	0.082
436.508	0.023
437.566	0.097
438.624	-0.053
439.682	-0.038
440.741	0.101
