#Velocity(km/s)	FluxDensity(Jy)
-70.420	-2.420
-69.362	-1.365
-68.304	-0.768
-67.245	2.074
-66.187	-3.739
-65.129	-3.664
-64.071	-3.293
-63.012	1.292
-61.954	-2.068
-60.896	-4.541
-59.837	0.714
-58.779	0.975
-57.721	3.805
-56.662	-3.340
-55.604	-3.891
-54.546	-0.873
-53.488	-2.479
-52.429	0.375
-51.371	-4.040
-50.313	-4.474
-49.254	0.135
-48.196	-5.550
-47.138	-2.443
-46.079	-3.918
-45.021	-4.708
-43.963	0.060
-42.904	-1.816
-41.846	1.655
-40.788	0.357
-39.730	-3.306
-38.671	-5.160
-37.613	1.180
-36.555	-2.231
-35.496	-2.519
-34.438	-4.302
-33.380	-1.323
-32.321	-1.512
-31.263	-5.009
-30.205	-0.323
-29.146	-0.788
-28.088	-3.348
-27.030	-6.796
-25.972	-0.444
-24.913	2.841
-23.855	1.460
-22.797	0.759
-21.738	-3.277
-20.680	-1.032
-19.622	-1.468
-18.563	-1.047
-17.505	-0.936
-16.447	1.108
-15.389	-1.981
-14.330	4.055
-13.272	4.211
-12.214	-5.297
-11.155	-0.711
-10.097	4.279
-9.039	12.306
-7.980	31.637
-6.922	41.775
-5.864	45.791
-4.805	46.645
-3.747	54.923
-2.689	59.647
-1.631	68.577
-0.572	74.025
0.486	75.148
1.544	76.608
2.603	82.393
3.661	88.066
4.719	85.875
5.778	94.019
6.836	90.986
7.894	99.411
8.952	100.422
10.011	95.199
11.069	95.199
12.127	98.344
13.186	92.840
14.244	90.649
15.302	85.932
16.361	84.415
17.419	73.575
18.477	78.630
19.536	75.260
20.594	69.419
21.652	67.060
22.710	65.544
23.769	60.938
24.827	49.565
25.885	47.549
26.944	29.823
28.002	12.165
29.060	-2.066
30.119	0.744
31.177	0.474
32.235	-1.152
33.293	1.658
34.352	-1.052
35.410	-0.578
36.468	1.403
37.527	1.390
38.585	-0.433
39.643	1.080
40.702	-0.309
41.760	-0.948
42.818	-2.470
43.877	0.856
44.935	1.850
45.993	-4.525
47.051	-4.041
48.110	-0.723
49.168	-1.482
50.226	0.262
51.285	-1.463
52.343	0.160
53.401	3.434
54.460	-3.253
55.518	-1.787
56.576	1.279
57.634	-4.746
58.693	-2.662
59.751	-0.562
60.809	-7.161
61.868	-7.161
62.926	0.209
63.984	-7.234
65.043	-2.568
66.101	-4.678
67.159	-0.200
68.218	-0.554
69.276	1.773
70.334	3.989
71.392	-1.572
72.451	-1.540
73.509	-3.773
74.567	-1.734
75.626	-2.615
76.684	-2.091
77.742	-0.858
78.801	0.729
79.859	-3.751
80.917	-6.667
81.975	2.741
83.034	-2.624
84.092	0.740
85.150	-1.663
86.209	0.144
87.267	-3.122
88.325	-3.285
89.384	-1.635
90.442	-4.550
91.500	0.846
92.559	-3.867
93.617	-2.862
94.675	-1.192
95.733	2.471
96.792	-6.599
97.850	0.114
98.908	2.774
99.967	5.163
101.025	2.947
102.083	-1.802
103.142	0.599
104.200	1.455
105.258	-3.682
106.317	-0.912
107.375	2.715
108.433	-1.546
109.491	-3.508
110.550	-3.731
111.608	2.753
112.666	-0.017
113.725	-2.787
114.783	-2.456
115.841	0.457
116.900	7.021
117.958	1.082
119.016	-2.306
120.074	1.081
121.133	-1.463
122.191	-0.405
123.249	-5.295
124.308	-0.933
125.366	2.015
126.424	-0.678
127.483	0.026
128.541	2.405
129.599	-1.224
130.658	2.106
131.716	0.354
132.774	-2.726
133.832	3.630
134.891	-4.418
135.949	-6.144
137.007	-2.851
138.066	0.779
139.124	2.293
140.182	-1.135
141.241	-1.659
