#Velocity(km/s)	Temperature(K)
-177.326	-0.269
-176.328	0.134
-175.330	-0.531
-174.332	0.324
-173.334	0.318
-172.336	-0.013
-171.338	-0.379
-170.340	-0.027
-169.342	0.061
-168.344	0.543
-167.345	0.433
-166.347	-0.361
-165.349	-0.297
-164.351	0.048
-163.353	0.154
-162.355	-0.180
-161.357	0.285
-160.359	0.224
-159.361	0.320
-158.363	0.038
-157.365	-0.033
-156.367	-0.194
-155.368	-0.410
-154.370	0.001
-153.372	0.189
-152.374	0.344
-151.376	-0.460
-150.378	-0.030
-149.380	-0.334
-148.382	-0.190
-147.384	0.030
-146.386	-0.022
-145.388	0.252
-144.390	-0.205
-143.391	0.099
-142.393	0.720
-141.395	-0.260
-140.397	-0.392
-139.399	-0.404
-138.401	0.231
-137.403	0.001
-136.405	-0.186
-135.407	0.100
-134.409	0.050
-133.411	-0.511
-132.412	-0.189
-131.414	0.013
-130.416	0.448
-129.418	0.397
-128.420	-0.137
-127.422	0.067
-126.424	0.101
-125.426	-0.172
-124.428	0.603
-123.430	0.187
-122.432	-0.208
-121.434	0.218
-120.435	-0.585
-119.437	-0.436
-118.439	0.018
-117.441	0.285
-116.443	-0.317
-115.445	-0.176
-114.447	-0.183
-113.449	0.038
-112.451	0.154
-111.453	0.177
-110.455	0.657
-109.457	-0.058
-108.458	0.598
-107.460	0.112
-106.462	0.126
-105.464	0.380
-104.466	0.017
-103.468	-0.518
-102.470	-0.193
-101.472	0.454
-100.474	-0.327
-99.476	-0.348
-98.478	0.398
-97.479	-0.052
-96.481	0.070
-95.483	-0.487
-94.485	0.052
-93.487	-0.318
-92.489	-0.132
-91.491	-0.357
-90.493	-0.019
-89.495	0.431
-88.497	-0.012
-87.499	0.491
-86.501	-0.660
-85.502	0.204
-84.504	-0.119
-83.506	0.204
-82.508	0.228
-81.510	0.058
-80.512	-0.684
-79.514	-0.074
-78.516	0.020
-77.518	-0.013
-76.520	-0.068
-75.522	0.051
-74.524	-0.214
-73.525	0.101
-72.527	-0.274
-71.529	0.253
-70.531	0.170
-69.533	-0.324
-68.535	0.130
-67.537	-0.023
-66.539	-0.012
-65.541	-0.045
-64.543	0.252
-63.545	0.261
-62.546	-0.029
-61.548	-0.649
-60.550	-0.446
-59.552	-0.112
-58.554	-0.437
-57.556	-0.148
-56.558	0.494
-55.560	0.217
-54.562	-0.035
-53.564	0.297
-52.566	0.511
-51.568	-0.723
-50.569	-0.064
-49.571	0.185
-48.573	0.355
-47.575	0.161
-46.577	0.252
-45.579	0.415
-44.581	0.804
-43.583	0.814
-42.585	-0.067
-41.587	0.490
-40.589	-0.672
-39.591	0.037
-38.592	-1.054
-37.594	0.245
-36.596	0.384
-35.598	0.368
-34.600	-0.111
-33.602	-0.242
-32.604	0.227
-31.606	-0.453
-30.608	0.104
-29.610	0.046
-28.612	-0.323
-27.614	-0.657
-26.615	0.506
-25.617	-0.379
-24.619	-0.016
-23.621	-0.118
-22.623	0.010
-21.625	0.322
-20.627	0.254
-19.629	0.186
-18.631	0.300
-17.633	0.245
-16.635	0.040
-15.636	-0.166
-14.638	0.251
-13.640	0.065
-12.642	0.580
-11.644	0.226
-10.646	0.277
-9.648	0.305
-8.650	0.127
-7.652	0.247
-6.654	0.820
-5.656	0.468
-4.658	0.211
-3.659	0.784
-2.661	0.366
-1.663	0.855
-0.665	0.954
0.333	0.898
1.331	0.634
2.329	1.227
3.327	1.129
4.325	0.631
5.323	0.152
6.321	1.140
7.319	1.151
8.318	0.900
9.316	0.857
10.314	1.013
11.312	0.405
12.310	1.031
13.308	0.819
14.306	0.785
15.304	0.889
16.302	1.377
17.300	0.697
18.298	1.259
19.297	0.705
20.295	0.552
21.293	0.483
22.291	0.884
23.289	0.827
24.287	0.475
25.285	0.449
26.283	1.067
27.281	0.433
28.279	0.637
29.277	0.142
30.275	0.369
31.274	-0.096
32.272	0.188
33.270	0.221
34.268	-0.200
35.266	0.193
36.264	-0.136
37.262	-0.331
38.260	-0.136
39.258	-0.236
40.256	-0.638
41.254	-1.046
42.252	-0.030
43.251	-0.338
44.249	0.317
45.247	-0.122
46.245	-0.627
47.243	-0.228
48.241	-0.350
49.239	-0.359
50.237	0.157
51.235	0.017
52.233	0.129
53.231	0.538
54.230	-0.183
55.228	0.088
56.226	0.002
57.224	-0.297
58.222	-0.014
59.220	0.084
60.218	0.445
61.216	0.384
62.214	0.537
63.212	0.300
64.210	0.276
65.208	0.626
66.207	-0.160
67.205	0.397
68.203	0.737
69.201	-0.083
70.199	0.519
71.197	0.501
72.195	-0.264
73.193	0.386
74.191	-0.246
75.189	0.379
76.187	-0.052
77.185	0.033
78.184	0.891
79.182	0.900
80.180	0.033
81.178	0.468
82.176	0.159
83.174	-0.131
84.172	-0.724
85.170	0.062
86.168	-0.221
87.166	0.224
88.164	-0.161
89.162	0.130
90.161	-0.106
91.159	-0.047
92.157	-0.233
93.155	-0.236
94.153	-0.939
95.151	-0.154
96.149	-0.662
97.147	-0.046
98.145	-0.592
99.143	-0.256
100.141	0.391
101.140	-0.581
102.138	-0.102
103.136	-0.321
104.134	0.030
105.132	-0.173
106.130	0.166
107.128	-0.321
108.126	0.127
109.124	-0.236
110.122	0.232
111.120	-0.257
112.118	-0.274
113.117	-0.487
114.115	-0.103
115.113	0.802
116.111	0.085
117.109	-0.080
118.107	-0.303
119.105	0.546
120.103	0.330
121.101	0.517
122.099	0.126
123.097	-0.650
124.095	0.396
125.094	-0.172
126.092	-0.800
127.090	-0.228
128.088	-0.226
129.086	-0.076
130.084	0.388
131.082	0.213
132.080	-0.115
133.078	0.393
134.076	-0.411
135.074	-0.419
136.073	-0.036
137.071	-0.025
138.069	-0.275
139.067	0.092
140.065	0.774
141.063	-0.359
142.061	-0.492
143.059	-0.267
144.057	0.241
145.055	0.072
146.053	0.511
147.051	0.707
148.050	-0.638
149.048	-0.297
150.046	0.623
151.044	0.268
152.042	0.718
153.040	-0.357
154.038	0.066
155.036	0.536
156.034	-0.229
157.032	-0.412
158.030	0.337
159.028	0.312
160.027	-0.276
161.025	0.271
162.023	0.519
163.021	0.342
164.019	0.450
165.017	0.466
166.015	0.240
167.013	0.059
168.011	-0.186
169.009	-0.254
170.007	0.145
171.006	0.144
172.004	0.026
173.002	-0.241
174.000	-0.215
174.998	-0.475
175.996	-0.165
176.994	-0.536
177.992	-0.312
178.990	-0.999
179.988	-0.032
180.986	0.199
181.984	-0.931
182.983	0.211
183.981	-0.043
184.979	0.401
185.977	-0.296
186.975	-0.739
187.973	0.372
188.971	0.839
189.969	0.242
190.967	-0.139
191.965	0.186
192.963	0.310
