#Velocity(km/s)	FluxDensity(Jy)
-177.326	-18.835
-176.328	9.402
-175.330	-37.149
-174.332	22.693
-173.334	22.237
-172.336	-0.927
-171.338	-26.502
-170.340	-1.885
-169.342	4.268
-168.344	37.979
-167.345	30.344
-166.347	-25.298
-165.349	-20.772
-164.351	3.368
-163.353	10.753
-162.355	-12.607
-161.357	19.942
-160.359	15.651
-159.361	22.384
-158.363	2.631
-157.365	-2.312
-156.367	-13.588
-155.368	-28.733
-154.370	0.097
-153.372	13.262
-152.374	24.060
-151.376	-32.167
-150.378	-2.113
-149.380	-23.360
-148.382	-13.266
-147.384	2.101
-146.386	-1.539
-145.388	17.647
-144.390	-14.365
-143.391	6.950
-142.393	50.433
-141.395	-18.200
-140.397	-27.447
-139.399	-28.293
-138.401	16.162
-137.403	0.095
-136.405	-13.001
-135.407	6.983
-134.409	3.480
-133.411	-35.749
-132.412	-13.210
-131.414	0.916
-130.416	31.337
-129.418	27.756
-128.420	-9.555
-127.422	4.677
-126.424	7.043
-125.426	-12.048
-124.428	42.228
-123.430	13.062
-122.432	-14.591
-121.434	15.286
-120.435	-40.926
-119.437	-30.540
-118.439	1.272
-117.441	19.958
-116.443	-22.172
-115.445	-12.317
-114.447	-12.808
-113.449	2.670
-112.451	10.765
-111.453	12.423
-110.455	45.956
-109.457	-4.061
-108.458	41.853
-107.460	7.857
-106.462	8.818
-105.464	26.600
-104.466	1.159
-103.468	-36.270
-102.470	-13.509
-101.472	31.760
-100.474	-22.921
-99.476	-24.386
-98.478	27.837
-97.479	-3.614
-96.481	4.883
-95.483	-34.088
-94.485	3.643
-93.487	-22.237
-92.489	-9.225
-91.491	-25.005
-90.493	-1.315
-89.495	30.165
-88.497	-0.842
-87.499	34.365
-86.501	-46.200
-85.502	14.300
-84.504	-8.314
-83.506	14.304
-82.508	15.967
-81.510	4.057
-80.512	-47.877
-79.514	-5.182
-78.516	1.406
-77.518	-0.900
-76.520	-4.779
-75.522	3.555
-74.524	-14.955
-73.525	7.091
-72.527	-19.177
-71.529	17.712
-70.531	11.893
-69.533	-22.677
-68.535	9.113
-67.537	-1.602
-66.539	-0.838
-65.541	-3.168
-64.543	17.647
-63.545	18.265
-62.546	-2.010
-61.548	-45.419
-60.550	-31.191
-59.552	-7.868
-58.554	-30.556
-57.556	-10.387
-56.558	34.577
-55.560	15.180
-54.562	-2.444
-53.564	20.772
-52.566	35.798
-51.568	-50.644
-50.569	-4.473
-49.571	12.966
-48.573	24.826
-47.575	11.299
-46.577	17.614
-45.579	29.058
-44.581	56.260
-43.583	57.009
-42.585	-4.682
-41.587	34.333
-40.589	-47.014
-39.591	2.581
-38.592	-73.760
-37.594	17.174
-36.596	26.877
-35.598	25.753
-34.600	-7.753
-33.602	-16.963
-32.604	15.867
-31.606	-31.679
-30.608	7.287
-29.610	3.238
-28.612	-22.628
-27.614	-46.021
-26.615	35.391
-25.617	-26.551
-24.619	-1.088
-23.621	-8.238
-22.623	0.700
-21.625	22.530
-20.627	17.793
-19.629	13.010
-18.631	21.016
-17.633	17.142
-16.635	2.834
-15.636	-11.614
-14.638	17.565
-13.640	4.573
-12.642	40.567
-11.644	15.792
-10.646	19.405
-9.648	21.342
-8.650	8.859
-7.652	17.305
-6.654	57.384
-5.656	32.786
-4.658	14.803
-3.659	54.860
-2.661	25.623
-1.663	59.826
-0.665	66.809
0.333	62.853
1.331	44.409
2.329	85.888
3.327	79.051
4.325	44.198
5.323	10.605
6.321	79.816
7.319	80.581
8.318	62.984
9.316	59.988
10.314	70.928
11.312	28.374
12.310	72.181
13.308	57.319
14.306	54.958
15.304	62.235
16.302	96.356
17.300	48.756
18.298	88.151
19.297	49.342
20.295	38.630
21.293	33.795
22.291	61.860
23.289	57.856
24.287	33.226
25.285	31.402
26.283	74.721
27.281	30.295
28.279	44.556
29.277	9.958
30.275	25.835
31.274	-6.723
32.272	13.188
33.270	15.454
34.268	-14.007
35.266	13.530
36.264	-9.499
37.262	-23.149
38.260	-9.534
39.258	-16.507
40.256	-44.686
41.254	-73.191
42.252	-2.111
43.251	-23.653
44.249	22.156
45.247	-8.569
46.245	-43.905
47.243	-15.927
48.241	-24.484
49.239	-25.119
50.237	10.988
51.235	1.168
52.233	9.047
53.231	37.686
54.230	-12.836
55.228	6.182
56.226	0.167
57.224	-20.772
58.222	-0.949
59.220	5.873
60.218	31.126
61.216	26.893
62.214	37.588
63.212	21.016
