#Velocity(km/s)	FluxDensity(Jy)
64.210	19.323
65.208	43.823
66.207	-11.195
67.205	27.821
68.203	51.572
69.201	-5.808
70.199	36.319
71.197	35.065
72.195	-18.493
73.193	27.007
74.191	-17.240
75.189	26.502
76.187	-3.619
77.185	2.344
78.184	62.381
79.182	62.984
80.180	2.283
81.178	32.786
82.176	11.114
83.174	-9.180
84.172	-50.709
85.170	4.319
86.168	-15.441
87.166	15.684
88.164	-11.254
89.162	9.128
90.161	-7.440
91.159	-3.324
92.157	-16.295
93.155	-16.491
94.153	-65.735
95.151	-10.798
96.149	-46.330
97.147	-3.255
98.145	-41.430
99.143	-17.940
100.141	27.365
101.140	-40.681
102.138	-7.139
103.136	-22.465
104.134	2.097
105.132	-12.109
106.130	11.642
107.128	-22.481
108.126	8.904
109.124	-16.507
110.122	16.233
111.120	-18.021
112.118	-19.193
113.117	-34.056
114.115	-7.183
115.113	56.147
116.111	5.916
117.109	-5.614
118.107	-21.195
119.105	38.240
120.103	23.133
121.101	36.172
122.099	8.786
123.097	-45.533
124.095	27.740
125.094	-12.032
126.092	-56.016
127.090	-15.946
128.088	-15.840
129.086	-5.306
130.084	27.186
131.082	14.880
132.080	-8.034
133.078	27.528
134.076	-28.798
135.074	-29.335
136.073	-2.506
137.071	-1.736
138.069	-19.226
139.067	6.438
140.065	54.209
141.063	-25.102
142.061	-34.463
143.059	-18.656
144.057	16.898
145.055	5.051
146.053	35.765
147.051	49.488
148.050	-44.653
149.048	-20.756
150.046	43.579
151.044	18.786
152.042	50.270
153.040	-24.956
154.038	4.620
155.036	37.491
156.034	-16.021
157.032	-28.863
158.030	23.621
159.028	21.863
160.027	-19.291
161.025	18.981
162.023	36.302
163.021	23.914
164.019	31.484
165.017	32.607
166.015	16.784
167.013	4.108
168.011	-13.036
169.009	-17.760
170.007	10.164
171.006	10.094
172.004	1.834
173.002	-16.881
174.000	-15.034
174.998	-33.226
175.996	-11.515
176.994	-37.523
177.992	-21.863
178.990	-69.902
179.988	-2.222
180.986	13.952
181.984	-65.181
182.983	14.799
183.981	-3.043
184.979	28.065
185.977	-20.691
186.975	-51.751
187.973	26.047
188.971	58.702
189.969	16.914
190.967	-9.762
191.965	12.987
192.963	21.700
