#Velocity(km/s)	Temperature(K)
-22.639	-0.017
-23.592	0.018
-24.544	0.028
-25.497	0.049
-26.449	0.024
-27.402	0.145
-28.354	0.067
-29.307	-0.020
-30.259	0.009
-31.212	0.065
-32.165	-0.022
-33.117	-0.034
-34.070	0.065
-35.022	-0.009
-35.975	0.087
-36.927	0.093
-37.880	0.151
-38.832	0.097
-39.785	0.097
-40.737	0.092
-41.690	0.137
-42.642	0.106
-43.595	-0.040
-44.547	0.070
-45.500	-0.083
-46.452	-0.095
-47.405	-0.122
-48.357	0.124
-49.310	0.084
-50.262	0.061
-51.215	-0.038
-52.167	-0.046
-53.120	0.006
-54.072	0.045
-55.025	0.045
-55.977	-0.036
-56.930	0.043
-57.883	0.075
-58.835	-0.036
-59.788	0.203
-60.740	0.144
-61.693	0.116
-62.645	0.035
-63.598	-0.071
-64.550	-0.042
-65.503	0.062
-66.455	-0.033
-67.408	0.119
-68.360	0.046
-69.313	0.020
-70.265	0.129
-71.218	0.010
-72.170	-0.003
-73.123	0.176
-74.075	0.054
-75.028	0.005
-75.980	-0.090
-76.933	-0.091
-77.885	0.003
-78.838	-0.161
-79.790	0.042
-80.743	0.040
-81.695	0.066
-82.648	0.040
-83.601	0.083
-84.553	-0.042
-85.506	0.096
-86.458	0.013
-87.411	0.026
-88.363	-0.006
-89.316	-0.013
-90.268	-0.023
-91.221	-0.174
-92.173	0.035
-93.126	0.046
-94.078	0.130
-95.031	0.094
-95.983	-0.129
-96.936	-0.157
-97.888	-0.010
-98.841	-0.087
-99.793	-0.102
-100.746	0.068
-101.698	0.010
-102.651	0.005
-103.603	-0.107
-104.556	-0.150
-105.508	-0.016
-106.461	-0.014
-107.414	0.053
-108.366	-0.010
-109.319	-0.071
-110.271	0.133
-111.224	0.020
-112.176	-0.002
-113.129	-0.065
-114.081	-0.030
-115.034	0.038
-115.986	-0.073
-116.939	-0.033
-117.891	-0.132
-118.844	-0.087
-119.796	0.002
-120.749	-0.006
-121.701	-0.112
-122.654	0.063
