#title: Spectral profile - piGru.12CO.image.pbcor.fits-raster
#region (world): Ellipse[[22:22:45.446, -45d57m05.645], [22:22:43.063, -45d56m40.645]]
#region (pixel): Ellipse[[63, 62], [187, 187]]
#coordinate: world
#xLabel: radio velocity [km/s]
#yLabel: [Jy] Flux Density
# piGru.12CO.image.pbcor.fits-raster
-7.000000000000e+01 6.597244739532e-02
-6.800000000000e+01 -1.212953403592e-01
-6.600000000000e+01 2.144404686987e-03
-6.400000000000e+01 -1.734965294600e-02
-6.200000000000e+01 -7.336396723986e-02
-6.000000000000e+01 3.957786783576e-02
-5.800000000000e+01 9.818677604198e-02
-5.600000000000e+01 -4.594722762704e-02
-5.400000000000e+01 -1.273719035089e-02
-5.200000000000e+01 -1.032706573606e-01
-5.000000000000e+01 -8.633249998093e-02
-4.800000000000e+01 -2.752558141947e-02
-4.600000000000e+01 -1.599890738726e-01
-4.400000000000e+01 -9.133769571781e-02
-4.200000000000e+01 -2.199622243643e-02
-4.000000000000e+01 -9.151568263769e-02
-3.800000000000e+01 -2.176655232906e-01
-3.600000000000e+01 2.093679010868e-01
-3.400000000000e+01 -4.346292614937e-01
-3.200000000000e+01 -6.407340764999e-01
-3.000000000000e+01 2.981531322002e-01
-2.800000000000e+01 1.697953581810e+00
-2.600000000000e+01 3.276370525360e+00
-2.400000000000e+01 4.849577426910e+00
-2.200000000000e+01 9.119092941284e+00
-2.000000000000e+01 2.173472023010e+01
-1.800000000000e+01 3.147691154480e+01
-1.600000000000e+01 2.394883155823e+01
-1.400000000000e+01 1.902412986755e+01
-1.200000000000e+01 2.207089805603e+01
-1.000000000000e+01 2.118442726135e+01
-8.000000000000e+00 2.637928581238e+01
-6.000000476837e+00 3.118546104431e+01
-4.000000476837e+00 2.663110733032e+01
-2.000000476837e+00 1.443505668640e+01
-3.725771762220e-07 7.858576297760e+00
1.999999642372e+00 2.757771253586e+00
3.999999523163e+00 2.115523338318e+00
5.999999523163e+00 1.067039012909e+00
7.999999523163e+00 1.257615327835e+00
1.000000000000e+01 7.207099795341e-01
1.200000000000e+01 3.086208403111e-01
1.400000000000e+01 -3.703424632549e-01
1.600000000000e+01 -1.890688091516e-01
1.800000000000e+01 -2.214079797268e-01
2.000000000000e+01 -8.448182046413e-02
2.200000000000e+01 -7.239541411400e-02
2.400000000000e+01 -1.288222223520e-01
2.600000000000e+01 -1.858590245247e-01
2.800000000000e+01 -1.391904652119e-01
3.000000000000e+01 -1.762622594833e-01
3.200000000000e+01 -9.499525278807e-02
3.400000000000e+01 -9.497664123774e-02
3.600000000000e+01 -2.247824817896e-01
3.800000000000e+01 -7.266309112310e-02
4.000000000000e+01 -5.637861788273e-02
4.200000000000e+01 1.059566289186e-01
4.400000000000e+01 1.612449288368e-01
4.600000000000e+01 -1.739933490753e-01
4.800000000000e+01 -9.584072232246e-02
